Unnamed: 0,Player,Age,Team,Pos,Rank,FG,P3
290,Steven Adams,32,HOU,C,3,0.504,
291,Ryan Dunn,23,PHO,SF,1,0.453,0.331
292,Mitchell Robinson,27,NYK,C,1,0.723,
293,Terrence Shannon Jr.,25,MIN,SG,1,0.45,0.408
294,Aaron Holiday,29,HOU,PG,2,0.417,0.394
295,Tre Mann,24,CHO,PG,1,0.36,0.323
296,Baylor Scheierman,25,BOS,SG,2,0.453,0.399
297,Jordan Walsh,21,BOS,PF,1,0.509,0.384
298,Josh Okogie,27,HOU,SG,1,0.425,0.385
299,Carter Bryant,20,SAS,PF,1,0.408,0.335
